OID_,UID,Xsugg,Ysugg,Type_,Unit,Walker,PassGrid,Section_,SherdNo,VesselPart,PartType,VesselType,OtherType,Thickness,Coarseness,MaxSize,Feature,Comments,FabricType,MNLN,FNEB1,EB2,LPrePal,FPal,SPal,TPal,PPalPG,Geom,Arch,Class,Hell,ERom,MRom,LRom,EByz,MByz,EVen,MVen,LVen,Recent,Other,DDLat,DDLon,ORIG_OID
,0075-7135-S-37,710076.099999999976717,3967135.200000000186265,grid,0075-7135,59,37,S,37,R,RR,JCon,Lamboglia 2,M,F,4.100000000000000,Y,"Lamboglia 2 amphora, rim. Quite fine and fairly soft reddish yellow clay (5YR 5-6/6) with scarce small inclusions and voids.",Adriatic amphora fabric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,35.82590401,23.32556974,1
,0095-7135-V-1,710098.199999999953434,3967133.600000000093132,grid,0095-7135,29,37,V,1,B,U,U,U,M,C,2.400000000000000,N,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82588486,23.32581379,2
,0105-7155-S-1,710106.099999999976717,3967152.200000000186265,grid,0105-7155,28,37,S,1,Ba,BF,U,U,Tk,C,5.100000000000000,Y,Base from medium to large sized vessel,SAT,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82605073,23.32590607,3
,0115-7265-V-1,710111.300000000046566,3967265.799999999813735,grid,0115-7265,21,51,V,1,B,U,U,U,M,C,1.900000000000000,N,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82707301,23.32599347,4
,0125-7115-S-1,710111.099999999976717,3967121.200000000186265,grid,0115-7125,49,37,S,1,L?,U,CPot?,U,M,C,6.200000000000000,Y,Highly abraded small ovoid leg,MUT,0,0,10,10,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82577039,23.32595323,5
,0125-7255-S-2,710128.400000000023283,3967259.200000000186265,grid,0125-7255,5,51,S,2,Ba,U,U,U,M,C,5.000000000000000,Y,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82700989,23.32618090,6
,0125-7255-S-3,710128.599999999976717,3967257.600000000093132,grid,0125-7255,5,51,S,3,R,U,U,U,M,C,4.800000000000000,Y,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82699543,23.32618269,7
,0125-7255-S-4,710124.500000000000000,3967251.899999999906868,grid,0125-7255,5,51,S,4,R?,U,U,U,M,C,2.700000000000000,Y,,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82694496,23.32613583,8
,0125-7255-S-5,710126.300000000046566,3967259.200000000186265,grid,0125-7255,5,51,S,5,B,U,U,U,M,C,4.700000000000000,Y,Perhaps one or more raised plastic bands?,GRO(b?),0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82701034,23.32615767,9
,0125-7255-V-1,710120.900000000023283,3967251.899999999906868,grid,0125-7255,5,51,V,1,H,U,U,U,Tk,C,6.400000000000000,Y,"Rounded ovoid in section. Fine sand temper with white chert and shale inclusions, close in appearance to Kytheran SAT but not?",OUT,0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82694573,23.32609601,10
