OID_,UID,Xsugg,Ysugg,Type_,Unit,Walker,Pass_Grid,Section_,ObjNo,Object,Material,MaxSize,Comments,MN_LN,FN_EB1,EB2,FMin,FPal,SPal,TPal,PPal_PG,Geometric,Archaic,Class,Hell,ERom,MRom,LRom,EByz,MByz,EVen,MVen,LVen,Recent,Other,TOTAL,DDLat,DDLon,ORIG_OID
,0075-7135-S-1,700074.099999999976717,3967139.000000000000000,grid,0075-7135,59,37,S,1,lump,slag,3.900000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82802925,23.21492332,1
,0075-7135-V-1,700075.199999999953434,3967136.399999999906868,grid,0075-7135,59,37,V,1,lump,slag,2.400000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82800560,23.21493484,2
,0075-7135-V-2,700070.500000000000000,3967132.100000000093132,grid,0075-7135,59,37,V,2,lump,slag,1.800000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82796782,23.21488176,3
,0085-7135-V-1,700088.300000000046566,3967132.700000000186265,grid,0085-7135,28,37,V,1,lump,slag,2.700000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82796960,23.21507884,4
,0085-7135-V-2,700081.699999999953434,3967135.500000000000000,grid,0085-7135,28,37,V,2,lump,slag,2.800000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82799617,23.21500652,5
,0085-7135-V-3,700080.699999999953434,3967132.700000000186265,grid,0085-7135,28,37,V,3,lump,slag,1.800000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82797115,23.21499476,6
,0085-7145-S-1,700080.900000000023283,3967149.000000000000000,grid,0085-7145,59,37,S,1,lump,slag,3.100000000000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82811796,23.21500105,7
,0095-7155-V-1,700093.800000000046566,3967155.399999999906868,grid,0095-7155,59,37,V,1,body fragment?,porous stone,5.200000000000000,perhaps part of a grinding tool/vessel of some kind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.82817299,23.21514537,8
,10181-50-1-85-O1,707024.800000000046566,3969990.200000000186265,tract,10181,50,1,85,1,vessel,glass,7.500000000000000,clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.85227325,23.29255619,9
,10195-2-1-65-O1,707934.900000000023283,3970774.700000000186265,tract,10195,2,1,65,1,vessel,glass,6.400000000000000,light purple (solarised?); faceted base of a bottle 4.9cm in diameter.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,35.85914803,23.30283168,10
