OBJECTID,Id,Toponyms,Type,Period,StartDate,EndDate,Longitude,Latitude,LocQual,SizeHa,SizeQual,Source,Source_id,ORIG_FID
1,1,Padiglione,settlement,Iron Age,-800,-700,12.639323577670000,41.515316399409997,A,0.200000000000000,E,"Attema et al. 2010, p. 229",15114,0
2,1,Padiglione,settlement,Republican Period,-100,-30,12.636816655730000,41.516110517540000,A,0.200000000000000,E,"Attema et al. 2010, p. 229",15114,1
3,1,Padiglione,settlement,Imperial Period,-30,400,12.636792861120000,41.516110517540000,A,0.200000000000000,E,"Attema et al. 2010, p. 229",15114,2
4,1,Padiglione,settlement,Late Antique/Early Medieval,400,500,12.636816655730000,41.516110517540000,A,0.200000000000000,E,"Attema et al. 2010, p. 229",15114,3
5,2,Astura,settlement,Iron Age,-700,-600,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,4
6,2,Astura,settlement,Post-Archaic Period,-500,-350,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,5
7,2,Astura,settlement,Archaic Period,-600,-500,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,6
8,2,Astura,settlement,Republican Period,-250,-30,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,7
9,2,Astura,settlement,Imperial Period,-30,400,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,8
10,2,Astura,settlement,Late Antique/Early Medieval,400,700,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,9
11,2,Astura,settlement,Medieval,700,1200,12.769312722590000,41.417720320310004,A,34.000000000000000,D,"Attema et al. 2010, p. 186; Picarreta 1977, p.21",11201,10
12,3,Torre Astura,settlement,Middle Bronze Age,-1700,-1350,12.765278596290001,41.409668311369998,A,4.000000000000000,D,"Attema et al. 2010, p. 186",11202,11
13,3,Torre Astura,settlement,Archaic Period,-600,-500,12.765278596290001,41.409668311369998,A,4.000000000000000,D,"Attema et al. 2010, p. 186",11202,12
14,3,Torre Astura,settlement,Republican Period,-350,-30,12.765278596290001,41.409668311369998,A,4.000000000000000,D,"Attema et al. 2010, p. 186",11202,13
15,3,Torre Astura,settlement,Imperial Period,-30,400,12.765278596290001,41.409668311369998,A,4.000000000000000,D,"Attema et al. 2010, p. 186",11202,14
16,3,Torre Astura,settlement,Late Antique/Early Medieval,400,700,12.765278596290001,41.409668311369998,A,4.000000000000000,D,"Attema et al. 2010, p. 186",11202,15
17,3,Torre Astura,settlement,Medieval,700,1200,12.765278596290001,41.409668311369998,A,4.000000000000000,D,"Attema et al. 2010, p. 186",11202,16
18,7,La Banca,settlement,Middle Bronze Age,-1700,-1350,12.748614342410001,41.419922417679999,A,0.300000000000000,F,"Attema et al. 2010, p. 188",11206,17
19,4,Pineta di Torre Astura,settlement,Roman,-350,400,12.762667743010001,41.412746197830003,A,0.500000000000000,F,"Attema et al. 2010, p. 187",11203,18
20,5,Pineta di Torre Astura,settlement,Republican Period,-250,-30,12.752829442270000,41.418008578849999,A,0.500000000000000,F,"Attema et al. 2010, p. 187",11204,19
21,5,Pineta di Torre Astura,settlement,Imperial Period,-30,400,12.752829442270000,41.417989543159997,A,0.500000000000000,F,"Attema et al. 2010, p. 187",11204,20
22,6,La Banca,settlement,Republican Period,-100,-30,12.749878910620000,41.418408328300004,A,0.500000000000000,F,"Attema et al. 2010, p. 187",11205,21
23,6,La Banca,settlement,Imperial Period,-30,100,12.749878910620000,41.418408328300004,A,0.500000000000000,F,Attema et al. 2010,11205,22
24,8,Saracca,settlement,Republican Period,-100,-30,12.745538376780001,41.421598488270000,A,0.500000000000000,F,Attema et al. 2010,11207,23
25,8,Saracca,settlement,Imperial Period,-30,400,12.745538376780001,41.421598488270000,A,0.500000000000000,F,Attema et al. 2010,11207,24
26,9,Saracca,settlement,Imperial Period,-30,250,12.741340902750000,41.424860337029997,A,0.500000000000000,F,Attema et al. 2010,11208,25
27,9,Saracca,settlement,Imperial Period,250,400,12.741340902750000,41.424860337029997,A,0.500000000000000,F,Attema et al. 2010,11208,26
28,10,Saracca,settlement,Late Bronze Age,-1350,-1020,12.738677027410001,41.427007887629998,A,0.100000000000000,F,Attema et al. 2010,11209,27
29,10,Saracca,settlement,Republican Period,-100,-30,12.738677027410001,41.427007887629998,A,0.100000000000000,F,Attema et al. 2010,11209,28
30,10,Saracca,settlement,Late Bronze Age,-30,250,12.738677027410001,41.427007887629998,A,0.100000000000000,F,Attema et al. 2010,11209,29
31,11,Pelliccione,settlement,Roman,-350,400,12.734258066380001,41.429392078930000,A,0.100000000000000,F,Attema et al. 2010,11212,30
32,12,Pelliccione,settlement,Middle Bronze Age,-1700,-1350,12.733008849350000,41.430052534440001,A,0.010000000000000,F,Attema et al. 2010,11213,31
33,12,Pelliccione,settlement,Late Bronze Age,-1350,-1020,12.733008849350000,41.430052534440001,A,0.010000000000000,F,Attema et al. 2010,11213,32
34,12,Pelliccione,settlement,Roman Period,-350,400,12.733008849350000,41.430052534440001,A,0.010000000000000,F,Attema et al. 2010,11213,33
35,13,Pelliccione,settlement,Republican Period,-100,-30,12.731873866680001,41.430841641900003,A,0.300000000000000,F,Attema et al. 2010,11214,34
36,13,Pelliccione,settlement,Imperial Period,-30,100,12.731873866680001,41.430841641900003,A,0.300000000000000,F,Attema et al. 2010,11214,35
37,14,Le Grottace,settlement,Late Bronze Age,-1350,-1020,12.729398885800000,41.432194556539997,A,0.500000000000000,F,Attema et al. 2010,11215,36
38,14,Le Grottace,settlement,Late Bronze Age,-250,-30,12.729398885800000,41.432194556539997,A,0.500000000000000,F,Attema et al. 2010,11215,37
39,14,Le Grottace,settlement,Late Bronze Age,-30,250,12.729398885800000,41.432194556539997,A,0.500000000000000,F,Attema et al. 2010,11215,38
40,15,Pelliccione,settlement,Republican Period,-250,-30,12.731048919939999,41.433996821489998,A,0.300000000000000,F,Attema et al. 2010,11217,39
41,16,Pelliccione,settlement,Roman,-350,400,12.726335650959999,41.436247068150003,A,0.300000000000000,F,Attema et al. 2010,11219,40
42,17,Finocchierelle,settlement,Roman,-350,400,12.724804095820000,41.439463516970001,A,0.100000000000000,F,Attema et al. 2010,11220,41
43,18,Vallone Carnevale,settlement,Roman,-350,400,12.722305661760000,41.440177355270002,A,0.100000000000000,F,Attema et al. 2010,11221,42
44,19,Finocchierelle,settlement,Roman,-350,-30,12.720592449840000,41.439463516970001,A,0.100000000000000,F,Attema et al. 2010,11222,43
