CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,COUNCIL,COUNTY,PARISH,NGR,URL,Latitude,Longitude
4306,NB43SE 3,"Lewis, Knock",Mace,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 31,http://canmore.org.uk/site/4306,58.19610733,6.273081913
4307,NB43SE 4,"Lewis, Aignish",Midden (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4840 3222,http://canmore.org.uk/site/4307,58.20669233,6.284577516
4309,NB43SE 7,"Lewis, Swordale",Axe Hammer,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 30,http://canmore.org.uk/site/4309,58.18715095,6.272004715
4310,NB43SE 8,"Lewis, Eilean Nan Caorach, Holm","Inorganic Material (Pumice), Slag, Unidentified Pottery",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 460 306,http://canmore.org.uk/site/4310,58.19080789,6.323531626
4311,NB43SE 9,"Lewis, Braighe, Broad Bay",Inhumation(S) (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4801 3220,http://canmore.org.uk/site/4311,58.2062905,6.291173218
4312,NB43SW 1,"Lewis, Lews Castle College",Coin Hoard,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4207 3322,http://canmore.org.uk/site/4312,58.21199051,6.393078124
4313,NB43SW 10,"Lewis, Eilean Na Gothail",Fort (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 426 321,http://canmore.org.uk/site/4313,58.20227041,6.382846567
4314,NB43SW 11,"Lewis, Holm",Fort (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 442 305,http://canmore.org.uk/site/4314,58.18887252,6.353947444
4315,NB43SW 12,"Lewis, Stornoway",Axehead (Stone),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 42 32,http://canmore.org.uk/site/4315,58.20102434,6.39291378
4317,NB43SW 14,"Lewis, Stornoway Gasworks",Gas Works (19-20th Century),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4264 3261,http://canmore.org.uk/site/4317,58.20686092,6.382731779
4319,NB43SW 16,"Lewis, Creed Lodge",Saddle Quern,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4044 3272,http://canmore.org.uk/site/4319,58.20655666,6.420177451
4320,NB43SW 17,"Lewis, Creed Lodge",Stone (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 404 326,http://canmore.org.uk/site/4320,58.20545855,6.42072223
4322,NB43SW 190,"Lewis, Stornoway Harbour",Harbour (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4228 3260,http://canmore.org.uk/site/4322,58.20656113,6.388828312
4327,NB43SW 25,"Lewis, Stornoway",Polished Axehead (Stone),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4 3,http://canmore.org.uk/site/4327,58.1819409,6.42460653
4328,NB43SW 3,"Lewis, Laxdale",Carved Stone Ball,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 42 34,http://canmore.org.uk/site/4328,58.2189345,6.395130855
4329,NB43SW 4,"Lewis, Steinish",Coin Hoard,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 449 339,http://canmore.org.uk/site/4329,58.21972698,6.345801928
4330,NB43SW 5,"Lewis, Creed",Axe Hammer,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 40 32,http://canmore.org.uk/site/4330,58.19985013,6.426837936
4331,NB43SW 6,"Lewis, Stornoway Castle",Castle (Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4213 3267,http://canmore.org.uk/site/4331,58.20710029,6.391450662
4332,NB43SW 7,"Lewis, Sandwick",Lithic Implement (Stone),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 44 32,http://canmore.org.uk/site/4332,58.20218972,6.358987193
4333,NB43SW 8,"Lewis, North Beach, St Lennans Church",Church (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4223 3280,http://canmore.org.uk/site/4333,58.20832293,6.389898069
4334,NB43SW 9,"Lewis, North Beach",Fort (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 422 327,http://canmore.org.uk/site/4334,58.20740988,6.390296289
4335,NB44SE 1,"Lewis, Coll",Axehead (Stone),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 46 40,http://canmore.org.uk/site/4335,58.27499262,6.333805779
4336,NB44SE 2,"Lewis, Carn A' Mharc","Chambered Cairn (Neolithic), Shieling Hut(S) (Post Medieval)(Possible)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 47225 43846,http://canmore.org.uk/site/4336,58.31014284,6.317181562
4338,NB44SE 4,"Lewis, Gress Lodge","Midden (Period Unassigned), Souterrain (Prehistoric)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 4938 4185,http://canmore.org.uk/site/4338,58.2935011,6.278346346
4339,NB44SE 5,"Lewis, Gress",Axehead (Stone),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 41,http://canmore.org.uk/site/4339,58.28567139,6.283888282
4340,NB44SE 6,"Lewis, Gress, Dun Ghrais",Dun (Period Unassigned)(Possible),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49 41,http://canmore.org.uk/site/4340,58.28567139,6.283888282
4341,NB44SE 7,"Gress Sands, Gress, Lewis","Unidentified Flint (Flint), Unidentified Pottery",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 491 414,http://canmore.org.uk/site/4341,58.289311,6.282621187
4342,NB44SE 8,"Dun Beinn Ivor, Loch Beinn Iobhair, Lewis",Dun (Period Unassigned)(Possible),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 495 436,http://canmore.org.uk/site/4342,58.30924311,6.278200446
4343,NB44SE 9,"Gress, Lewis",Souterrain (Prehistoric),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 49085 41540,http://canmore.org.uk/site/4343,58.29055632,6.283028053
4385,NB52NW 1,"Lewis, Eye, Chicken Head","Church (Period Unassigned), Shieling Hut(S) (Post Medieval), Unidentified Pottery",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5078 2924,http://canmore.org.uk/site/4385,58.18135255,6.241004845
4386,NB53NE 1,"Lewis, Dun Loch An Duin",Dun (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5563 3591,http://canmore.org.uk/site/4386,58.24381266,6.165762516
4388,NB53NW 1,"Lewis, Shulishader, Caisteal Mhic Creacail",Chambered Cairn (Neolithic),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 54317 36686,http://canmore.org.uk/site/4388,58.2500331,6.188888628
4389,NB53SE 1,"Lewis, Sheshader, Dun Dubh",Promontory Fort (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5570 3267,http://canmore.org.uk/site/4389,58.21482826,6.161167945
4390,NB53SE 2,"Lewis, Sheshader",Field System (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 555 348,http://canmore.org.uk/site/4390,58.23379743,6.166802622
4244,NB33SE 1,"Lewis, Loch Airidh Na Lic",Crannog (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 3992 3410,http://canmore.org.uk/site/4244,58.21860771,6.43054135
4245,NB33SE 2,"Lewis, Loch Airidh Na Lic",Barbed And Tanged Arrowhead,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 3968 3393,http://canmore.org.uk/site/4245,58.21694378,6.434423976
4246,NB33SE 3,"Lewis, Airigh An Da Mhile",Shieling Hut(S) (Post Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 382 323,http://canmore.org.uk/site/4246,58.20147195,6.457704532
4248,NB33SE 5,"Lewis, Loch Speireag",Shieling Hut(S) (Post Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 362 316,http://canmore.org.uk/site/4248,58.19401289,6.49083333
4249,NB33SE 6,"Lewis, Airigh Na Gile",Shieling Hut(S) (Post Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 356 325,http://canmore.org.uk/site/4249,58.20171213,6.502028996
4250,NB33SE 7,"Airigh An Aip, Lewis","Sheepfold (Period Unassigned), Shieling Hut(S) (Post Medieval)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 354 341,http://canmore.org.uk/site/4250,58.21591812,6.507240076
4251,NB33SE 8,"Airigh Na Beiste, Lewis","Farmstead (Period Unassigned), Head Dyke (Post Medieval), Shieling Hut(S) (Post Medieval)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 365 343,http://canmore.org.uk/site/4251,58.21836769,6.488802385
4252,NB33SW 1,"Lewis, Airigh A' Chreagain",Shieling Hut(S) (Post Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 348 321,http://canmore.org.uk/site/4252,58.19765054,6.515141769
4253,NB33SW 2,"Lewis, Loch Beag Thoma Dhuibhe",Shieling Hut(S) (Post Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 3380 3100,http://canmore.org.uk/site/4253,58.18719974,6.530843196
4391,NB53SW 1,"Lewis, Tobar Huisdean",Holy Well (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5136 3370,http://canmore.org.uk/site/4391,58.2216277,6.235931822
4392,NB53SW 100,"Lewis, Lower Bayble","Mill(S) (Period Unassigned)(Possible), Township (Period Unassigned), Township (Period Unassigned)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 525 313,http://canmore.org.uk/site/4392,58.20077206,6.214026355
4393,NB53SW 2,"Lewis, Garrabost, Cnoc Nan Dursainean",Chambered Cairn (Neolithic),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5238 3307,http://canmore.org.uk/site/4393,58.21655897,6.217945312
4394,NB53SW 3,"Lewis, Dun Mor",Promontory Fort (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5143 3392,http://canmore.org.uk/site/4394,58.22363771,6.234978656
4395,NB53SW 4,"Lewis, Garrabost, St Cowstan's Chapel",Chapel (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5163 3355,http://canmore.org.uk/site/4395,58.2204364,6.231188107
4396,NB53SW 5,"Lewis, Lower Bayble, Clach Stein",Standing Stone (Prehistoric),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5165 3174,http://canmore.org.uk/site/4396,58.20423544,6.228916967
4397,NB53SW 6,"Lewis, Lower Bayble, Loch An Duin",Dun (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 51682 30437,http://canmore.org.uk/site/4397,58.1925824,6.226984886
4398,NB53SW 7,"Lewis, Garrabost",Standing Stone (Prehistoric),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5281 3340,http://canmore.org.uk/site/4398,58.21975617,6.210997099
4399,NB53SW 80,"Lewis, Garrabost Brickworks","Brickworks (Period Unassigned), Tile Works (Period Unassigned)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 50700 33177,http://canmore.org.uk/site/4399,58.21657042,6.246575278
4400,NB53SW 9,"Lewis, East Roisnish",Lazy Beds (Post Medieval),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5062 3380,http://canmore.org.uk/site/4400,58.22210524,6.248601059
4401,NB54NW 1,"Lewis, North Tolsta, Traigh Geiraha, Caisteal A' Mhorair",Dun (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5368 4970,http://canmore.org.uk/site/4401,58.36624561,6.213575902
4402,NB54NW 10,"Lewis, New Tolsta",Horizontal Mill (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5324 4894,http://canmore.org.uk/site/4402,58.35919078,6.220261984
4403,NB54NW 2,"Lewis, North Tolsta, Traigh Geiraha","Midden (Period Unassigned), Unidentified Pottery",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 53458 49840,http://canmore.org.uk/site/4403,58.36737474,6.217509967
4404,NB54NW 3,"Lewis, Lochside, Beinn Tharaburt","Cairn (Period Unassigned)(Possible), Shieling Hut (Post Medieval)(Possible)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5267 4587,http://canmore.org.uk/site/4404,58.331372,6.226683635
4405,NB54NW 4,"Lewis, North Tolsta, Cladh Mhicheil","Burial Ground (Period Unassigned), Church (Period Unassigned)",WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 544 480,http://canmore.org.uk/site/4405,58.35142254,6.199490633
4406,NB54NW 5,"Lewis, Tolsta",Lithic Implement,WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 53 47,http://canmore.org.uk/site/4406,58.34167921,6.222273655
4408,NB54NW 7,"Lewis, North Tolsta, Osavat",Crannog (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5357 4728,http://canmore.org.uk/site/4408,58.34450779,6.212863387
4409,NB54NW 8,"Lewis, New Tolsta",Horizontal Mill (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5335 4902,http://canmore.org.uk/site/4409,58.35996925,6.218472954
4410,NB54NW 9,"Lewis, New Tolsta",Horizontal Mill (Period Unassigned),WESTERN ISLES,ROSS AND CROMARTY,STORNOWAY,NB 5329 4899,http://canmore.org.uk/site/4410,58.35966677,6.219463399
